DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTRONHCA,PARTLTRON192MILES,PARTLTRONCLASS34,PARTLTRONCLASS12,PARTLTOFFC1,PARTLTOFFTOT,PARTLTROFFHCA,PARTLTROFF192MILES,PARTLTROFFCLASS34,PARTLTROFFCLASS12,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLTRHCATOTAL,PARTLTR192MILESTOTAL,PARTLTRCLASS34TOTAL,PARTLTRCLASS12TOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGONCC1,PARTLGONCTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL
2/2/2026,2021,20220931,40794,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,WYOMING,69,0,0,0,69,0,0.41,0,68.6,0,0,,,,,69,0,0,0,69,0,0.41,0,68.6,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,69,0,0,0,69
2/2/2026,2021,20220688,40543,515,DAKOTA GASIFICATION COMPANY,Synthetic Gas,INTRASTATE,NORTH DAKOTA,39.77,0,0,0,39.77,0,0,0,39.77,0,0,,,,,39.77,0,0,0,39.77,0,0,0,39.77,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,39.77,0,0,0,39.77
2/2/2026,2021,20220660,40514,570,FERNDALE PIPELINE SYSTEM,Natural Gas,INTRASTATE,WASHINGTON,24.8,9.3,2.1,0,36.2,2.11,0.8,0,33.29,0,0,,,,,24.8,9.3,2.1,0,36.2,2.11,0.8,0,33.29,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,24.8,9.3,2.1,0,36.2
2/2/2026,2021,20220537,40383,585,ARGYLE MUNICIPAL GAS SYSTEM,Natural Gas,INTRASTATE,MINNESOTA,2.01,0,0,0,2.01,,,,2.01,0,0,,,,,2.01,0,0,0,2.01,,,,2.01,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2.01,0,0,0,2.01
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,ARKANSAS,2219.17,495.37,196.56,0,2911.1,46.02,143.72,72.67,2648.71,0,0,,,,,2219.17,495.37,196.56,0,2911.1,46.02,143.72,72.67,2648.71,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2219.17,495.37,196.56,0,2911.1
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,KANSAS,26.71,1.94,4.4,0,33.05,1.32,0,3.08,28.65,0,0,,,,,26.71,1.94,4.4,0,33.05,1.32,0,3.08,28.65,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,26.71,1.94,4.4,0,33.05
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,LOUISIANA,747.2,123.82,71.02,0,942.04,12.6,42.47,41.04,845.93,0,0,,,,,747.2,123.82,71.02,0,942.04,12.6,42.47,41.04,845.93,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,747.2,123.82,71.02,0,942.04
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0.71,0.71,1.86,0,3.28,0,1.86,0,1.42,0,0,,,,,0.71,0.71,1.86,0,3.28,0,1.86,0,1.42,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.71,0.71,1.86,0,3.28
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,MISSOURI,2.28,0,0,0,2.28,0,0,0,2.28,0,0,,,,,2.28,0,0,0,2.28,0,0,0,2.28,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2.28,0,0,0,2.28
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,OKLAHOMA,1349.32,73.9,59.97,0,1483.19,13.41,23.04,41.76,1404.99,0,0,,,,,1349.32,73.9,59.97,0,1483.19,13.41,23.04,41.76,1404.99,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1349.32,73.9,59.97,0,1483.19
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,TENNESSEE,7.16,0.32,0,0,7.48,0,0,0,7.49,0,0,,,,,7.16,0.32,0,0,7.48,0,0,0,7.49,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,7.16,0.32,0,0,7.48
2/2/2026,2021,20220509,40355,602,"ENABLE GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,TEXAS,333.64,100.92,44.79,0,479.35,7.7,12.63,27.32,431.67,0,0,,,,,333.64,100.92,44.79,0,479.35,7.7,12.63,27.32,431.67,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,333.64,100.92,44.79,0,479.35
2/2/2026,2021,20220592,46712,603,CENTERPOINT ENERGY RESOURCES CORP.,Natural Gas,INTRASTATE,ARKANSAS,16.764,22.489,36.411,0,75.664,9.115,13.013,14.453,39.084,0,0,,,,,16.764,22.489,36.411,0,75.664,9.115,13.013,14.453,39.084,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,16.764,22.489,36.411,0,75.664
